Year,Age Group,Veteran Suicide Deaths,Veteran Population Estimate,"Veteran Crude Rate per 100,000",Non-Veteran Suicide Deaths,Non-Veteran Population Estimate,"Non-Veteran Crude Rate per 100,000",Male Veteran Suicide Deaths,Male Veteran Population Estimate,"Male Veteran Crude Rate per 100,000",Male Non-Veteran Suicide Deaths,Male Non-Veteran Population Estimate,"Male Non-Veteran Crude Rate per 100,000",Age Group 2,Female Veteran Suicide Deaths,Female Veteran Population Estimate,"Female Veteran Crude Rate per 100,000",Female Non-Veteran Suicide Deaths,Female Non-Veteran Population Estimate,"Female Non-Veteran Crude Rate per 100,000"
2001,18-34,618,2616000,23.6,7675,64848174,11.8,588,2223000,26.5,6426,32015909,20.1,18-34,30,393000,7.6,1249,32832265,3.8
2001,35-54,2505,8899000,28.1,10072,75539020,13.3,2398,8137000,29.5,7286,33611510,21.7,35-54,107,762000,14.0,2786,41927510,6.6
2001,55-74,1689,9761000,17.3,4060,33728474,12.0,1678,9512000,17.6,2925,10890782,26.9,55+,17,466000,3.6,1541,33261855,4.6
2001,75+,1174,4457000,26.3,1787,12449112,14.4,1168,4240000,27.5,1381,2024949,68.2,,,,,,,
2001,Total,5989,25733000,23.3,23591,186564780,12.6,5835,24112000,24.2,18015,78543150,22.9,Total,154,1621000,9.5,5576,108021630,5.2
2002,18-34,589,2504000,23.5,7757,65326354,11.9,565,2112000,26.8,6440,32309265,19.9,18-34,24,392000,6.1,1317,33017089,4.0
2002,35-54,2433,8470000,28.7,10726,76162843,14.1,2343,7688000,30.5,7758,34147785,22.7,35-54,90,782000,11.5,2968,42015058,7.1
2002,55-74,1818,9816000,18.5,4263,35275867,12.1,1807,9527000,19.0,3083,11694551,26.4,55+,20,504000,4.0,1614,34107866,4.7
2002,75+,1282,4608000,27.8,1803,12525672,14.4,1273,4393000,29.0,1369,1999122,68.5,,,,,,,
2002,Total,6129,25398000,24.1,24542,189290736,13.0,5995,23720000,25.3,18643,80150723,23.3,Total,134,1678000,8.0,5899,109140013,5.4
2003,18-34,668,2397000,27.9,7717,65763541,11.7,627,2009000,31.2,6389,32530808,19.6,18-34,41,388000,10.6,1328,33232733,4.0
2003,35-54,2317,8043000,28.8,10766,76931160,14.0,2227,7247000,30.7,7798,34743538,22.4,35-54,90,796000,11.3,2968,42187622,7.0
2003,55-74,1811,9891000,18.3,4367,36618860,11.9,1798,9586000,18.8,3145,12356239,25.5,55+,20,521000,3.8,1631,34887753,4.7
2003,75+,1178,4662000,25.3,1735,12700614,13.7,1171,4446000,26.3,1326,2075482,63.9,,,,,,,
2003,Total,5981,24993000,23.9,24578,192014175,12.8,5830,23288000,25.0,18651,81706067,22.8,Total,151,1705000,8.9,5927,110308108,5.4
2004,18-34,589,2342000,25.1,8057,66226735,12.2,552,1946000,28.4,6629,32815534,20.2,18-34,37,396000,9.3,1428,33411201,4.3
2004,35-54,2237,7732000,28.9,11307,77698205,14.6,2127,6924000,30.7,8018,35306342,22.7,35-54,110,808000,13.6,3289,42391863,7.8
2004,55-74,1887,9872000,19.1,4403,38100837,11.6,1872,9556000,19.6,3117,13120727,23.8,55+,22,550000,4.0,1702,35651436,4.8
2004,75+,1275,4810000,26.5,1644,12725786,12.9,1268,4576000,27.7,1228,2054460,59.8,,,,,,,
2004,Total,5991,24756000,24.2,25408,194751563,13.0,5822,23002000,25.3,18989,83297063,22.8,Total,169,1754000,9.6,6419,111454500,5.8
2005,18-34,576,2270000,25.4,7879,66430193,11.9,533,1870000,28.5,6463,32943462,19.6,18-34,43,400000,10.8,1416,33486731,4.2
2005,35-54,2134,7576000,28.2,11407,78425442,14.5,2017,6737000,29.9,8315,35784570,23.2,35-54,117,839000,13.9,3092,42640872,7.3
2005,55-74,1994,9835000,20.3,4560,39688194,11.5,1972,9474000,20.8,3218,13982215,23.0,55+,29,604000,4.8,1785,36466269,4.9
2005,75+,1404,4919000,28.5,1656,12849101,12.9,1397,4676000,29.9,1213,2088811,58.1,,,,,,,
2005,Total,6112,24600000,24.8,25498,197392930,12.9,5923,22757000,26.0,19205,84799058,22.6,Total,189,1843000,10.3,6293,112593872,5.6
2006,18-34,531,2191000,24.2,7922,66807018,11.9,498,1795000,27.7,6534,33174724,19.7,18-34,33,396000,8.3,1388,33632294,4.1
2006,35-54,2071,7416000,27.9,11946,79113960,15.1,1959,6564000,29.8,8682,36226774,24.0,35-54,112,852000,13.1,3264,42887186,7.6
2006,55-74,2056,9593000,21.4,4911,41540140,11.8,2036,9246000,22.0,3395,15004448,22.6,55+,29,574000,5.1,1928,37388916,5.2
2006,75+,1359,4917000,27.6,1556,13044080,11.9,1350,4690000,28.8,1144,2190856,52.2,,,,,,,
2006,Total,6019,24117000,25.0,26333,200505198,13.1,5845,22295000,26.2,19753,86596802,22.8,Total,174,1822000,9.5,6580,113908396,5.8
2007,18-34,561,2149000,26.1,8203,67372488,12.2,526,1749000,30.1,6718,33466899,20.1,18-34,35,400000,8.8,1485,33905589,4.4
2007,35-54,2108,7219000,29.2,12392,79517169,15.6,1993,6361000,31.3,8983,36535205,24.6,35-54,115,858000,13.4,3409,42981964,7.9
2007,55-74,2118,9392000,22.6,5395,43435161,12.4,2087,9055000,23.0,3742,16027688,23.3,55+,36,520000,6.9,2059,38365273,5.4
2007,75+,1444,4889000,29.5,1533,13237984,11.6,1439,4706000,30.6,1127,2280184,49.4,,,,,,,
2007,Total,6232,23649000,26.4,27522,203562802,13.5,6046,21871000,27.6,20569,88309976,23.3,Total,186,1778000,10.5,6953,115252826,6.0
2008,18-34,605,2126000,28.5,8230,68275747,12.1,562,1725000,32.6,6704,33929216,19.8,18-34,43,401000,10.7,1526,34346531,4.4
2008,35-54,2157,7025000,30.7,12833,79627933,16.1,2043,6175000,33.1,9328,36684664,25.4,35-54,114,850000,13.4,3505,42943269,8.2
2008,55-74,2333,9247000,25.2,5928,45415742,13.1,2291,8933000,25.6,4267,17043735,25.0,55+,52,489000,10.6,2079,39386476,5.3
2008,75+,1458,4935000,29.5,1501,13336942,11.3,1448,4760000,30.4,1083,2322473,46.6,,,,,,,
2008,Total,6555,23333000,28.1,28490,206656364,13.8,6346,21593000,29.4,21380,89980088,23.8,Total,209,1740000,12.0,7110,116676276,6.1
2009,18-34,607,2101000,28.9,8291,69152688,12.0,546,1697000,32.2,6748,34369278,19.6,18-34,61,404000,15.1,1543,34783410,4.4
2009,35-54,2092,6845000,30.6,13183,79509899,16.6,1965,5988000,32.8,9646,36727435,26.3,35-54,127,857000,14.8,3537,42782464,8.3
2009,55-74,2292,9144000,25.1,6433,47494699,13.5,2258,8799000,25.7,4593,18135001,25.3,55+,40,519000,7.7,2223,40408292,5.5
2009,75+,1513,4893000,30.9,1428,13497076,10.6,1507,4719000,31.9,1045,2448482,42.7,,,,,,,
2009,Total,6506,22983000,28.3,29333,209654362,14.0,6278,21203000,29.6,22030,91680196,24.0,Total,228,1780000,12.8,7303,117974166,6.2
2010,18-34,623,2102000,29.6,8977,69871194,12.8,575,1696000,33.9,7281,34727956,21.0,18-34,48,406000,11.8,1696,35143238,4.8
2010,35-54,2049,6627000,30.9,13321,79339864,16.8,1919,5781000,33.2,9847,36744461,26.8,35-54,130,846000,15.4,3474,42595403,8.2
