Year,Veteran Suicide Deaths,Veteran Population Estimate,"Veteran Crude Rate per 100,000","Veteran Age Adjusted Rate per 100,000","Veteran Age and Sex Adjusted Rate per 100,000",Male Veteran Suicide Deaths,Male Veteran Population Estimate,"Male Veteran Crude Rate per 100,000","Male Veteran Age Adjusted Rate per 100,000",Female Veteran Suicide Deaths,Female Veteran Population Estimate,"Female Veteran Crude Rate per 100,000","Female Veteran Age Adjusted Rate per 100,000",Non-Veteran Suicide Deaths,Non-Veteran Population Estimate,"Non-Veteran Crude Rate per 100,000","Non-Veteran Age Adjusted Rate per 100,000","Non-Veteran Age and Sex Adjusted Rate per 100,000",Male Non-Veteran Suicide Deaths,Male Non-Veteran Population Estimate,"Male Non-Veteran Crude Rate per 100,000","Male Non-Veteran Age Adjusted Rate per 100,000",Female Non-Veteran Suicide Deaths,Female Non-Veteran Population Estimate,"Female Non-Veteran Crude Rate per 100,000","Female Non-Veteran Age Adjusted Rate per 100,000",US Population Suicide Deaths,US Population Population Estimate,"US Population Crude Rate per 100,000","US Population Age Adjusted Rate per 100,000","US Population Age and Sex Adjusted Rate per 100,000",Male US Population Suicide Deaths,Male US Population Population Estimate,"Male US Population Crude Rate per 100,000","Male US Population Age Adjusted Rate per 100,000",Female US Population Suicide Deaths,Female US Population Population Estimate,"Female US Population Crude Rate per 100,000","Female US Population Age Adjusted Rate per 100,000"
2001,5989,25733000,23.3,24.4,17.1,5835,24112000,24.2,25.9,154,1621000,9.5,9.1,23591,186564780,12.6,12.7,14.8,18015,78543150,22.9,26,5576,108021630,5.2,5.2,29580,212297780,13.9,14,13.9,23850,102655150,23.2,23.6,5730,109642630,5.2,5.3
2002,6129,25398000,24.1,24.9,16.8,5995,23720000,25.3,26.8,134,1678000,8,7.6,24542,189290736,13,13,15,18643,80150723,23.3,26.3,5899,109140013,5.4,5.4,30671,214688736,14.3,14.3,14.3,24638,103870723,23.7,24.1,6033,110818013,5.4,5.5
2003,5981,24993000,23.9,26.1,18.1,5830,23288000,25,28,151,1705000,8.9,9,24578,192014175,12.8,12.8,14.7,18651,81706067,22.8,25.6,5927,110308108,5.4,5.4,30559,217007175,14.1,14.1,14,24481,104994067,23.3,23.7,6078,112013108,5.4,5.5
2004,5991,24756000,24.2,25.5,18.1,5822,23002000,25.3,27.4,169,1754000,9.6,9.6,25408,194751563,13,13.1,14.7,18989,83297063,22.8,25.2,6419,111454500,5.8,5.8,31399,219507563,14.3,14.3,14.3,24811,106299063,23.3,23.7,6588,113208500,5.8,5.9
2005,6112,24600000,24.8,25.7,18.6,5923,22757000,26,27.6,189,1843000,10.3,10.4,25498,197392930,12.9,12.9,14.5,19205,84799058,22.6,24.9,6293,112593872,5.6,5.6,31610,221992930,14.2,14.3,14.2,25128,107556058,23.4,23.7,6482,114436872,5.7,5.7
2006,6019,24117000,25,25.4,18,5845,22295000,26.2,27.5,174,1822000,9.5,9.4,26333,200505198,13.1,13.2,14.6,19753,86596802,22.8,24.7,6580,113908396,5.8,5.8,32352,224622198,14.4,14.4,14.4,25598,108891802,23.5,23.8,6754,115730396,5.8,5.9
2007,6232,23649000,26.4,26.9,19.2,6046,21871000,27.6,29.2,186,1778000,10.5,10.2,27522,203562802,13.5,13.5,14.9,20569,88309976,23.3,24.9,6953,115252826,6,6.1,33754,227211802,14.9,14.9,14.8,26615,110180976,24.2,24.4,7139,117030826,6.1,6.2
2008,6555,23333000,28.1,28.8,21.1,6346,21593000,29.4,31.2,209,1740000,12,11.9,28490,206656364,13.8,13.8,15.1,21380,89980088,23.8,25.3,7110,116676276,6.1,6.2,35045,229989364,15.2,15.3,15.2,27726,111573088,24.9,25.1,7319,118416276,6.2,6.3
2009,6506,22983000,28.3,28.9,21.5,6278,21203000,29.6,31.1,228,1780000,12.8,13,29333,209654362,14,14,15.2,22030,91680196,24,25.3,7303,117974166,6.2,6.3,35839,232637362,15.4,15.5,15.4,28308,112883196,25.1,25.3,7531,119754166,6.3,6.4
2010,6535,22752000,28.7,29.5,21.9,6302,20967000,30.1,31.9,233,1785000,13.1,12.8,30813,212449000,14.5,14.6,15.7,23224,93198704,24.9,26.1,7589,119250296,6.4,6.4,37348,235201000,15.9,15.9,15.8,29526,114165704,25.9,26.1,7822,121035296,6.5,6.5
