Year,"Geographic
Region",State of Death,Group Method,Method,Suicides,"Group
Percentage"
2001,Northeast,All,Veteran Method,Firearms,430,56.4
2001,Northeast,Connecticut,Veteran Method,Firearms,27,60.0
2001,Northeast,Maine,Veteran Method,Firearms,21,55.3
2001,Northeast,Massachusetts,Veteran Method,Firearms,39,47.6
2001,Northeast,New Jersey,Veteran Method,Firearms,41,44.1
2001,Northeast,New York,Veteran Method,Firearms,92,54.4
2001,Northeast,Pennsylvania,Veteran Method,Firearms,173,64.1
2001,Midwest,All,Veteran Method,Firearms,881,63.6
2001,Midwest,Illinois,Veteran Method,Firearms,125,61.3
2001,Midwest,Indiana,Veteran Method,Firearms,89,64.0
2001,Midwest,Iowa,Veteran Method,Firearms,45,62.5
2001,Midwest,Kansas,Veteran Method,Firearms,41,65.1
2001,Midwest,Michigan,Veteran Method,Firearms,116,64.8
2001,Midwest,Minnesota,Veteran Method,Firearms,56,57.7
2001,Midwest,Missouri,Veteran Method,Firearms,95,65.5
2001,Midwest,Nebraska,Veteran Method,Firearms,25,69.4
2001,Midwest,North Dakota,Veteran Method,Firearms,11,47.8
2001,Midwest,Ohio,Veteran Method,Firearms,183,64.0
2001,Midwest,South Dakota,Veteran Method,Firearms,11,40.7
2001,Midwest,Wisconsin,Veteran Method,Firearms,84,73.0
2001,South,All,Veteran Method,Firearms,1687,71.0
2001,South,Alabama,Veteran Method,Firearms,81,77.9
2001,South,Arkansas,Veteran Method,Firearms,56,75.7
2001,South,Florida,Veteran Method,Firearms,335,64.7
2001,South,Georgia,Veteran Method,Firearms,112,72.7
2001,South,Kentucky,Veteran Method,Firearms,53,71.6
2001,South,Louisiana,Veteran Method,Firearms,82,80.4
2001,South,Maryland,Veteran Method,Firearms,51,64.6
2001,South,Mississippi,Veteran Method,Firearms,46,73.0
2001,South,North Carolina,Veteran Method,Firearms,134,72.8
2001,South,Oklahoma,Veteran Method,Firearms,71,66.4
2001,South,South Carolina,Veteran Method,Firearms,66,70.2
2001,South,Tennessee,Veteran Method,Firearms,118,78.7
2001,South,Texas,Veteran Method,Firearms,309,73.6
2001,South,Virginia,Veteran Method,Firearms,106,67.5
2001,South,West Virginia,Veteran Method,Firearms,50,73.5
2001,West,All,Veteran Method,Firearms,984,67.2
2001,West,Arizona,Veteran Method,Firearms,125,75.3
2001,West,California,Veteran Method,Firearms,313,66.2
2001,West,Colorado,Veteran Method,Firearms,94,65.7
2001,West,Montana,Veteran Method,Firearms,32,74.4
2001,West,Nevada,Veteran Method,Firearms,67,58.3
2001,West,New Mexico,Veteran Method,Firearms,54,69.2
2001,West,Oregon,Veteran Method,Firearms,88,68.8
2001,West,Utah,Veteran Method,Firearms,45,78.9
2001,West,Washington,Veteran Method,Firearms,107,66.5
2001,Northeast,All,General Population Method,Firearms,1713,41.1
2001,Northeast,Connecticut,General Population Method,Firearms,112,41.8
2001,Northeast,Maine,General Population Method,Firearms,83,53.9
2001,Northeast,Massachusetts,General Population Method,Firearms,107,25.7
2001,Northeast,New Hampshire,General Population Method,Firearms,76,47.5
2001,Northeast,New Jersey,General Population Method,Firearms,167,28.7
2001,Northeast,New York,General Population Method,Firearms,436,36.2
2001,Northeast,Pennsylvania,General Population Method,Firearms,665,54.2
2001,Northeast,Rhode Island,General Population Method,Firearms,25,29.8
2001,Northeast,Vermont,General Population Method,Firearms,42,59.2
2001,Midwest,All,General Population Method,Firearms,3498,52.5
2001,Midwest,Illinois,General Population Method,Firearms,490,44.8
2001,Midwest,Indiana,General Population Method,Firearms,400,57.8
2001,Midwest,Iowa,General Population Method,Firearms,148,52.1
2001,Midwest,Kansas,General Population Method,Firearms,148,53.4
2001,Midwest,Michigan,General Population Method,Firearms,521,51.5
2001,Midwest,Minnesota,General Population Method,Firearms,229,50.6
2001,Midwest,Missouri,General Population Method,Firearms,417,59.1
2001,Midwest,Nebraska,General Population Method,Firearms,99,55.6
2001,Midwest,North Dakota,General Population Method,Firearms,40,54.1
2001,Midwest,Ohio,General Population Method,Firearms,661,55.7
2001,Midwest,South Dakota,General Population Method,Firearms,41,41.8
2001,Midwest,Wisconsin,General Population Method,Firearms,304,50.2
2001,South,All,General Population Method,Firearms,7315,62.6
2001,South,Alabama,General Population Method,Firearms,376,76.0
2001,South,Arkansas,General Population Method,Firearms,268,72.6
2001,South,Delaware,General Population Method,Firearms,52,50.0
2001,South,District Of Columbia,General Population Method,Firearms,21,52.5
2001,South,Florida,General Population Method,Firearms,1180,52.1
2001,South,Georgia,General Population Method,Firearms,611,67.7
2001,South,Kentucky,General Population Method,Firearms,321,66.5
2001,South,Louisiana,General Population Method,Firearms,340,71.6
2001,South,Maryland,General Population Method,Firearms,216,49.1
2001,South,Mississippi,General Population Method,Firearms,232,73.7
2001,South,North Carolina,General Population Method,Firearms,617,63.9
2001,South,Oklahoma,General Population Method,Firearms,324,65.1
2001,South,South Carolina,General Population Method,Firearms,305,66.6
2001,South,Tennessee,General Population Method,Firearms,472,68.0
2001,South,Texas,General Population Method,Firearms,1335,62.6
2001,South,Virginia,General Population Method,Firearms,452,58.5
2001,South,West Virginia,General Population Method,Firearms,193,68.4
2001,West,All,General Population Method,Firearms,3886,55.1
2001,West,Alaska,General Population Method,Firearms,56,62.2
