Year,Geographic Region,State of Death,Sex,Veteran Suicides,Male,Female
2001,Total U.S.,Total U.S.,Total,5989,5835,154
2002,Total U.S.,Total U.S.,Total,6129,5995,134
2003,Total U.S.,Total U.S.,Total,5981,5830,151
2004,Total U.S.,Total U.S.,Total,5991,5822,169
2005,Total U.S.,Total U.S.,Total,6112,5923,189
2006,Total U.S.,Total U.S.,Total,6019,5845,174
2007,Total U.S.,Total U.S.,Total,6232,6046,186
2008,Total U.S.,Total U.S.,Total,6555,6346,209
2009,Total U.S.,Total U.S.,Total,6506,6278,228
2010,Total U.S.,Total U.S.,Total,6535,6302,233
2011,Total U.S.,Total U.S.,Total,6437,6184,253
2012,Total U.S.,Total U.S.,Total,6432,6193,239
2013,Total U.S.,Total U.S.,Total,6497,6242,255
2014,Total U.S.,Total U.S.,Total,6639,6345,294
2015,Total U.S.,Total U.S.,Total,6613,6299,314
2016,Total U.S.,Total U.S.,Total,6475,6178,297
2017,Total U.S.,Total U.S.,Total,6761,6384,377
2018,Total U.S.,Total U.S.,Total,6660,6324,336
2019,Total U.S.,Total U.S.,Total,6261,5964,297
